sub_domain,Correct
الفضلي، صريح عبد الكريم (2020). موسوعة التطبيق العملي للقوانين الميكانيكية في علوم الرياضة، بغداد: كلية التربية الرياضية.,1.0
القطاع العقاري,1.0
القدرات العقلية,1.0
كيمياء صناعية - علم المواد,1.0
لغويات,1.0
مبادئ الكاراتيه للدكتور احمد يوسف عبد الرحمن صفحة 21,1.0
الأحمدي، فهد محمد (2023). موسوعة العاب المضرب الحديثة: مجموعة تكوين المتحدة للطباعة والنشر.,1.0
اقتصاد رياضي,1.0
إدارة الأداء,1.0
أطياف المركبات العضوية,1.0
إدارة التغيير والتطوير التنظيمي,1.0
الأدب الاموي,1.0
الأدب الأندلسي,1.0
مركز الكتاب للنشر . القاهرة ٢٠١٠,1.0
موقع ويكيبيديا وشبكة الإنترنت,1.0
الهندسة الإقليدية,1.0
النمو البدني والتطور الحركي,1.0
النمو الاقتصادي,1.0
بوليمرات طبيعية - كيمياء فيزيائية,1.0
نووية - إشعاعية,1.0
النفط,1.0
جيوكيمياء,1.0
تعريفات اقتصادية,1.0
تكنولوجيا حديثة -الخلايا الشمسية,1.0
نمو الناتج المحلي,1.0
تحليل حقيقي,1.0
تاريخ شرق آسيا,1.0
خلايا طاقة شمسية,1.0
التوظيف و الاستقطاب,0.96875
الاقتصاد القياسي,0.9565217391304348
التنوع الاحيائي,0.95
النشاط البدني والصحة العامة,0.95
الجبر الخطي,0.95
النظم السياسية,0.9333333333333333
علم الاحياء البحرية,0.9230769230769231
العلاقات الدولية,0.92
الرواتب والحوافز,0.9166666666666666
هندسة تحليلية,0.9090909090909091
هندسة ميكانيكية,0.9090909090909091
الجيوفيزياء,0.9090909090909091
علم الثدييات,0.9090909090909091
حماية الحياة الفطرية,0.9
هندسة كيميائية,0.9
علم نفس النمو,0.9
الشبكات,0.9
القوام والتمرينات العلاجية,0.8947368421052632
إدارة مالية,0.8928571428571429
مالية الشركات,0.890625
علم نفس تربوي,0.8888888888888888
هندسة برمجيات,0.8888888888888888
جبر خطي,0.8571428571428571
الفكر السياسي الغربي,0.855072463768116
التدريب و التطوير,0.8461538461538461
التدريب الرياضي,0.8333333333333334
اقتصاد اسلامي,0.8181818181818182
التحليل النقدي,0.8125
حساب التفاضل والتكامل,0.8070175438596491
فيزياء البلازما,0.8041237113402062
الاقتصاد الرقمي,0.8
اللسانيات,0.8
تحليل عددي,0.8
النظام السياسي في المملكة,0.8
إدارة المشاريع,0.8
نظام الحكم في الإسلام,0.8
معوض، خليل ميخائيل (1994). سيكولوجية النمو الطفولة والمراهقة، ط3، الإسكندرية، مصر: دار الفكر الجامعي.,0.8
الرياضة والصحة,0.8
الجيولوجيا,0.8
تاريخ الولايات المتحدة الامريكية,0.8
الميكانيكا الحيوية,0.8
شبكات,0.797979797979798
السياسات الاقتصادية,0.7941176470588235
نظريات اقتصادية,0.7872340425531915
التمويل,0.7777777777777778
اقتصاديات التنمية,0.7777777777777778
القوام,0.7777777777777778
علم الحركة,0.7619047619047619
الكيمياء التحليلية,0.75
رؤية 2030,0.75
إدارة الإنتاج والعمليات,0.75
تاريخ اوربا الحديث,0.75
أسس الرياضيات,0.75
محمد آل جحني (1443ه): محاضرات علمية‏ في مقرر دراسة متقدمة في التربية الحركية، قسم التربية البدنية ،كلية الفنون والعلوم الإنسانية ، جامعه جازان.,0.75
إدارة التغيير,0.75
علم نفس اجتماعي,0.75
علم الصخور,0.75
الصحة والرياضة,0.75
كردي، بارزان عثمان قادر رسول (2017). أساليب التدريس وتعليم كرة اليد: مؤسسة عالم الرياضة للنشر.,0.75
السلوك التنظيمي,0.75
علم النفس المعرفي,0.75
فنون النثر,0.75
القيادة الإدارية,0.7307692307692307
الشافعي، جمال الدين عبد المعطي و درويش، محمد سالم حسين (2023). الرياضة المدرسية  أسس وتطبيقات، ط1، القاهرة، مصر: مركز الكتاب للنشر.,0.7272727272727273
الإعلام والتواصل الاجتماعي,0.723404255319149
الاختبارات اللغوية,0.7222222222222222
علم نفس معرفي,0.7222222222222222
nan,0.7195467422096318
الاستشعار عن بعد,0.71875
علم نفس علاجي,0.7142857142857143
"هيل, سوزان (2014). أساسيات البيوميكانيك. (ترجمة حسن الزيادي وإياد عبد الرحمن وباسم الحمداني). الصالحية - بغداد: المكتبة الرياضية للنشر والتوزيع.",0.7142857142857143
نظرية الزمر,0.7142857142857143
التجارة الدولية,0.7058823529411765
الصادرات والواردات,0.7
المتسلسلات والمتتاليات,0.7
هندسة النظم,0.7
علم الاجتماع,0.693069306930693
تاريخ الفكر السياسي,0.6923076923076923
اللغويات الاجتماعية,0.6875
الإدارة الاستراتيجية,0.6808510638297872
كيمياء البترول - صناعة,0.6666666666666666
أبو عبده، حسن السيد (2001). الاتجاهات الحديثة في تخطيط وتدريب كرة القدم، الإسكندرية، مصر: مكتبة ومطبعة الإشعاع.,0.6666666666666666
علم النفس النمو والشيخوخة,0.6666666666666666
الجيوفيزياء التطبيقية,0.6666666666666666
البلاغة,0.6666666666666666
التجارة الخارجية,0.6666666666666666
الجيوديسيا والجاذبية,0.6666666666666666
علم المواد -صناعية - غير عضوية,0.6666666666666666
علم النفس الجنائي,0.6666666666666666
علم النفس القياس والتقويم والحساسية الثقافية,0.6666666666666666
سياسات مالية,0.6666666666666666
العمل,0.6666666666666666
عبد الفتاح، أبو العلا (1992). فسيولوجيا اللياقة البدنية، القاهرة، مصر: دار الفكر العربي.,0.6666666666666666
القطاع التجاري,0.6666666666666666
المدونات اللغوية,0.6666666666666666
بسطويسي، بسطويسي أحمد (1997). سباقات المضمار ومسابقات الميدان، طبعة أولى، مصر: دار الفكر العربي.,0.6666666666666666
بوليمرات,0.6666666666666666
درويش، كمال (1998). الترويح الرياضي، ط1، القاهرة، مصر: مركز الكتاب للنشر.,0.6666666666666666
مهارات القراءة,0.6666666666666666
اقتصاديات العمل,0.6666666666666666
نظرية الأعداد,0.6666666666666666
إدارة التسويق,0.6666666666666666
إدارة الأزمات,0.6666666666666666
الرياضة,0.6494845360824743
الشعر النبطي,0.6428571428571429
جمباز,0.6363636363636364
تعليم اللغة,0.6363636363636364
علم نفس إرشادي,0.6333333333333333
النقد الأدبي,0.6333333333333333
الشعر,0.6329113924050633
المناهج الأدبية,0.625
إدارة الموارد البشرية,0.625
علم الاجتماع الاقتصادي,0.625
النثر,0.6111111111111112
الأدب,0.6071428571428571
متجهات,0.6
معادلات تفاضلية,0.6
تمكين المرأة,0.5769230769230769
ريادة الأعمال,0.575
الهندسة المعمارية,0.5714285714285714
المعاني,0.5689655172413793
عام,0.56
القطاع الزراعي,0.5454545454545454
البيان,0.5416666666666666
هندسة الاتصالات,0.5333333333333333
مدخل الفقه,0.5294117647058824
الأدب السعودي,0.5294117647058824
الأدب العباسي,0.5263157894736842
الشمول المالي,0.5
التقييم والتقويم,0.5
هندسة مدنية,0.5
"IAAF Rules. (2020). World Athletics Competition and Technical Rules 2020 Edition. In International Association of Athletics Federations, In force from 1 November 2019 (2020th ed.). IAAF. Retrieved from: https://athleticsfiji.com/iaaf-competition-rules/",0.5
التحرير,0.5
إعادة تدوير,0.5
الأدب الجاهلي,0.5
مؤشر اسعار السلع والخدمات,0.5
التغيير والتطوير التنظيمي,0.5
القطاع السياحي,0.5
القطاع المالي,0.5
القطاع النقدي,0.5
علم نفس إحصائي,0.5
الشاذلي، أحمد فؤاد (2008). الموسوعة الرياضية في بيوميكانيكا الاتزان، الأسكندرية، مصر: منشأة المعارف.,0.5
علم نفس علاجي وإرشادي,0.5
اللغويات التاريخية,0.5
علم نفس النمو والشيخوخة,0.5
بوليمرات صناعية,0.5
"عبد الفتاح، أبو العلا (1997). التدريب الرياضي – الأسس الفسيولوجية، القاهرة، مصر: دار الفكر العربي.
حلمي، عصام و بريقع، محمد جابر (1997). التدريب الرياضى ( اسس – مفاهيم – اتجاهات )، الاسكندريه، مصر: مطابع القدس",0.5
القياس والتقويم,0.5
الهندسة المدنية,0.5
هندسة الطيران,0.5
المساواة,0.5
حرارية,0.5
مورغن، بيتر (1997). كرة السلة: الدار العربية للعلوم ناشرون السلسلة: السلسلة الرياضية,0.5
الاقتصاد السعودي,0.5
البديع,0.5
تفاضل وتكامل,0.47368421052631576
اللسانيات العامة,0.4725274725274725
تاريخ الأدب,0.47058823529411764
السياسة اللغوية,0.4444444444444444
التاريخ الإسلامي,0.43258426966292135
حقوق الطفل,0.42857142857142855
بريقع، محمد جابر و السكري، خيرية إبراهيم (2002). المباديء الأساسية للميكانيكا الحيوية في المجال الرياضي، الأسكندرية، مصر: منشأة المعارف.,0.4
العمالة,0.4
هندسة كهربائية,0.4
إدارة الأعمال الدولية,0.4
علم نفس الشخصية,0.4
تاريخ المملكة,0.4
الدولة السعودية الثالثة,0.38095238095238093
العروض والقافية,0.375886524822695
أهداف التنمية المستدامة,0.375
فقه,0.375
النحو,0.367816091954023
الشعر الفصيح,0.36666666666666664
الفقه,0.34591194968553457
التحرير العربي,0.3333333333333333
كتاب التدريب الرياضي اعداد الدكتور صبري غانم,0.3333333333333333
الناتج المحلي الاجمالي,0.3333333333333333
تاريخ مصر,0.3333333333333333
تاريخ العرب الحديث,0.3333333333333333
كيمياء البيئة - تلوث,0.3333333333333333
التضخم,0.3333333333333333
شكل الأرض وحركاتها,0.3333333333333333
تاريخ المسلمين في الاندلس,0.3333333333333333
أصول الفقه,0.32608695652173914
المملكة العربية السعودية,0.3191489361702128
سعودي,0.3181818181818182
جودة الحياة,0.3125
تاريخ المملكة العربية السعودية,0.3
الدولة السعودية الثانية,0.2903225806451613
مؤشرات دولية,0.25
الأدب الحديث,0.25
القطاع النفطي,0.25
التاريخ السياسي للمملكة,0.23076923076923078
الدولة السعودية الأولى,0.2
القطاع الصناعي,0.2
مؤشرات عالمية,0.2
الأدب الأموي,0.0
إدارة الإنتاح والعمليات,0.0
أموي,0.0
أطياف المركبات العضوية- الأشعة تحت الحمراء,0.0
إدارة التغير,0.0
مجاهد، محمد السعيد (2021). موسوعة منافسات سباق المشي (تاريخ - تكنيك - تعليم - تقييم أسلوب -  تحكيم). الطبعة الأولى. الإصدار الأول. مصر. مركز الكتاب للنشر,0.0
كيمياء صناعية - علم المواد - بوليمرات,0.0
مجاهد، محمد السعيد (2023). ألعاب قوى 1، كتاب منهجي/ كلية التربية الرياضية، جامعة العريش.,0.0
حرارية - ثرمودايناميك,0.0
خلايا شمسية- طاقة,0.0
حما، مفتي إبراهيم (1996). التدريب الرياضي للجنسين من الطفولة إلى المراهقة، مصر: دار الفكر العربي.,0.0
حركية,0.0
ميكانيكا الموائع,0.0
جاهلي,0.0
محاليل -  فيزيائية,0.0
بوليمرات عضوية,0.0
تآكل- الكيمياء الفيزيائية,0.0
شعر صدر الإسلام,0.0
سيد، أحمد نصر الدين (2014).. مبادئ فسيولوجيا الرياضة، القاهرة، مصر: مركز الكتاب للنشر.,0.0
سلامة، بهاء الدين إبراهيم (2000). فسيولوجيا الرياضة والأداء البدنى ، القاهرة، مصر: ، دار الفكر العربي.,0.0
بوليمرات  -علم المواد,0.0
الميزانية السعودية,0.0
الموانيء,0.0
المنشآت,0.0
الكيمياء التحليلية - التحليل الكهروكيميائي,0.0
عبد الوهاب، فاروق السيد (1995). الرياضة صحة ولياقة بدنية ، القاهرة، مصر: دار الشروق.,0.0
علاقات اقتصادية,0.0
الكيمياء التحليلية - طرق فصل,0.0
صندوق الاستثمارات العامة,0.0
ديناميكا الحرارية,0.0
بوليمرات طبيعية - كيمياء حيوية,0.0
القطاع الغذائي,0.0
القطاع الخدمي,0.0
علم الزلازل,0.0
القطاع المصرفي,0.0
علم الطفيليات,0.0
علم نفس إشادي,0.0
السيرة النبوية,0.0
الدولة السعودية,0.0
الدولة الاموية,0.0
البلاغة الجديدة,0.0
الأدب الوسيط,0.0
البراكين,0.0
الأدب في عصر صدر الإسلام,0.0
الأسواق المالية,0.0
كيمياء البترول,0.0
كتاب سؤال وجواب في كره القدم تحت اشرف احمد فارس صالح مشرف التربيه الرياضيه بمديريه وزاره التعليم صفحه 31http://bit.ly/35JDRyy,0.0
قطاع البتروكيماويات,0.0
فرج، إيلين وديع (2011). الكرة الطائرة.. دليل المعلم والمدرب واللاعب (الجزء الأول)، مصر: منشأة المعارف.,0.0
أسباب الخلاف,0.0
كيمياء صناعية  - بوليمرات,0.0
أبو النجا، عصام جمال (2018). الموسوعة العلمية في القوام والإنحرافات القوامية، مصر: مركز الكتاب الحديث.,0.0
#المرجع (اللياقه البدنيه) للدكتور (خالد صلاح)ص13،ص14,0.0
